PMID,Title,Creator,Publication,Date,DOI,Citations,Abstract
42366204,Comparative analysis of CNN-LSTM and CNN-BiLSTM hybrid deep learning models for solar radiation prediction,Raghav YY,Scientific reports,2026 Jun 28,10.1038/s41598-026-59621-5,,No encontrado en OpenAlex
42362603,A high-resolution gridded dataset of biomass resource potentials in China with policy-aware land-use constraints for renewable energy planning,Huang L,Scientific data,2026 Jun 26,10.1038/s41597-026-07689-z,,"The pursuit of carbon neutrality in China demands a rapid, spatially informed scale-up of renewable energy, including biomass, yet high-resolution, policy-aware data for site-specific planning remain scarce. To bridge this gap, we develop China's high-resolution spatially explicit biomass resource potential dataset, which integrates five biomass categories (agricultural residues, forestry residues, energy crops, animal manure, and municipal waste) at 1 km resolution for 2020, with projections to 2050. This dataset incorporates key constraints such as food security, ecological conservation, and land use suitability. It provides heat value potential distribution maps in GeoTIFF and PDF formats, and heat value potential data in Excel format. By combining multi-source geospatial data, statistical downscaling, and machine learning, this dataset enables precise assessment of resource conditions and provides forward-looking planning for biomass power deployment, rural revitalization, and carbon reduction strategies, thereby meeting China's critical need for integrated, location-aware open data in energy and land-use decision-making."
